date,sitrep_number,confirmed_cases_cumulative,confirmed_deaths_cumulative,new_confirmed_cases_reported,daily_deaths_reported,source_url,source_data_as_of_date,curation_date,notes
2026-05-30,16,282,42,19,,https://insp.cd/sitrep-n016-mvb_30-2026/,2026-05-30,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-05-31,17,321,48,12,,https://insp.cd/sitrep-n017-mvb_31-2026/,2026-05-31,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-01,18,344,60,23,,https://insp.cd/sitrep-n018-mvb_01-06-2026/,2026-06-01,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-02,19,363,62,19,2,https://insp.cd/sitrep-n019-mvb_01-06-2026/,2026-06-02,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-03,20,381,64,18,2,https://insp.cd/sitrep-n020-mvb_02-06-2026/,2026-06-03,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-05,22,488,86,36,4,https://insp.cd/sitrep-n22-mvb_05-06-2026/,2026-06-05,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-06,23,515,91,27,4,https://insp.cd/sitrep-n23-mvb_06-06-2026/,2026-06-06,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-07,24,550,101,35,10,https://insp.cd/sitrep-n24-mvb_07-06-2026/,2026-06-07,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-08,25,598,115,48,14,https://insp.cd/sitrep-n25-mvb_08-06-2026/,2026-06-08,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-09,26,635,127,37,12,https://insp.cd/sitrep-n26-mvb_09-06-2026/,2026-06-09,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-10,27,676,136,41,9,https://insp.cd/sitrep-n27-mvb_10-06-2026/,2026-06-10,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
2026-06-11,28,689,139,17,5,https://insp.cd/sitrep-n28-mvb_11-06-2026/,2026-06-11,2026-06-25,"Daily changes are newly reported values, not necessarily new infections."
